"lag.base","lag.base.low","lag.base.high","lag.hazard","lag.hazard.low","lag.hazard.high","lag","df.date","df.tmmx","df.rmax"
0.00838821936539717,0.00586391773860376,0.0107416714077088,0.00171977682192721,0.00101376317842454,0.00239562118891811,4,9,2,2
0.00873305151460082,0.00624234599123218,0.0110559573777652,0.00181639137716472,0.00110586507687961,0.00249670558133536,4,11,3,3
0.00801523507053428,0.00547406781224082,0.0103858591639973,0.00166451703653636,0.000946171397490494,0.00235238329286192,4,14,3,3
0.011397650256056,0.00894567154057796,0.0136810330900841,0.00273202296217644,0.00204619685336272,0.00338778025277391,5,5,2,2
0.0101981211950523,0.00769636924288863,0.0125300259975972,0.00228829772646984,0.00158903466187311,0.00295724285798041,5,6,2,2
0.00991792951903096,0.00742307322492739,0.0122427243819916,0.00206887460460606,0.00136125012505144,0.00274598474507276,5,7,2,2
0.00962326288037841,0.00708860995908925,0.0119815404215589,0.00204548762466976,0.00133697594003537,0.00272367639976188,5,9,2,2
0.010360803949785,0.00778291619723597,0.0127652597244819,0.00216941422256166,0.00145258351267297,0.00285599892572113,5,11,3,3
0.00965247113549127,0.00702267028737838,0.0121049948803322,0.00193652025949095,0.00120645889036776,0.002635862633402,5,14,3,3
0.0101084594473785,0.007845971113507,0.0122239894045369,0.00289710379127649,0.00219609049671214,0.00356648276113581,6,5,2,2
0.00902385290577535,0.00672968640246983,0.0111699974837848,0.00241021872039098,0.00169155571185597,0.00309668664361898,6,6,2,2
0.00864275034537277,0.0063487967734106,0.0107884551791043,0.0021368136427418,0.00140459739707197,0.00283629205119856,6,7,2,2
0.00841575966474269,0.00609614441099238,0.0105827761552271,0.00212916241114723,0.00139509737000219,0.00283067203229024,6,9,2,2
0.00939674666204576,0.00702595868451792,0.0116183486527489,0.00230736780341243,0.00156010618695197,0.00302230865297137,6,11,3,3
0.00872794521403663,0.00632014789700091,0.0109834998717292,0.00200629214385807,0.00123977041413927,0.00273976611834874,6,14,3,3
0.00769510691796757,0.00502175244312759,0.010192850144761,0.00329777226817386,0.00261146208708231,0.00395280287919419,7,5,2,2
0.00639398285560067,0.0036764619687337,0.00893712651106182,0.0028097939116426,0.00210481308956632,0.00348273736347747,7,6,2,2
0.00581139727051401,0.00307084157489935,0.00837539387278581,0.00251240524890548,0.00179122859865327,0.00320076379898918,7,7,2,2
0.00554134988370862,0.00276543998142786,0.00813636207145355,0.00253285058636659,0.00180936319230869,0.00322375390323093,7,9,2,2
0.00575919473006733,0.00296499866793016,0.00837064764374767,0.00273522796986833,0.00199671619973749,0.00344128024064624,7,11,3,3
0.00494630369165004,0.00209894896740066,0.00760681268036151,0.00240591904751553,0.0016436754735672,0.00313460573197234,7,14,3,3
0.00713663589406992,0.00441854695386344,0.00968255742615931,0.00292309358957014,0.00220034946787707,0.00361011238955937,8,5,2,2
0.00569256717992812,0.00293914789036842,0.00827638701288773,0.00238944712317317,0.00164513692245089,0.00309723045271385,8,6,2,2
0.00486062124351739,0.00206512425878035,0.00748405332680886,0.00205347095764045,0.00129009725597952,0.00277941694385949,8,7,2,2
0.00465699146361469,0.00183425778372992,0.00730427865011181,0.00207544659436981,0.00130965325003141,0.00280417531095566,8,9,2,2
