"lag.smoke","lag.smoke.low","lag.smoke.high","lag","df.date","df.tmmx","df.rmax","pm.threshold"
-0.00754185038789387,-0.0585856411757237,0.0431552648479426,4,3,1,1,20
0.133090337993436,0.0813416388890471,0.184503400753449,4,4,1,1,20
0.102945756038827,0.050726505474474,0.154847504416609,4,5,2,2,20
0.0618986901173576,0.00966251979724464,0.113823387146772,4,6,2,2,20
0.0591245937247259,0.00668427470516048,0.111247514682653,4,7,2,2,20
0.053658243843262,0.00125523377512416,0.105767735652066,4,9,2,2,20
0.0489167833426881,-0.00352216071081373,0.1010702704666,4,11,3,3,20
0.0326158111029972,-0.0196376824962204,0.0845869942853044,4,14,3,3,20
-0.202177802033475,-0.255837130701097,-0.148905855336815,5,2,1,1,20
0.0616449285806296,0.0105086123722261,0.1124382393345,5,3,1,1,20
0.222150552416873,0.170284727550373,0.273680202141558,5,4,1,1,20
0.189085304792556,0.136519139989176,0.241327784409574,5,5,2,2,20
0.14246147985396,0.0895570895464294,0.195044017595781,5,6,2,2,20
0.132407974490843,0.0790841892123499,0.185396131037767,5,7,2,2,20
0.127708961941537,0.0745393496247974,0.180560373163381,5,9,2,2,20
0.124509190722725,0.0712198510216502,0.177487971999452,5,11,3,3,20
0.10139245318959,0.0479391067788165,0.15453021395486,5,14,3,3,20
-0.141939071479981,-0.196111642665285,-0.0881540275465961,6,2,1,1,20
0.140004811221518,0.0883780289810754,0.191289251973521,6,3,1,1,20
0.313706167381584,0.261331001583041,0.365746148378404,6,4,1,1,20
0.282406215043521,0.229215377767965,0.335272338088643,6,5,2,2,20
0.234814035041014,0.181127674818134,0.28817460895276,6,6,2,2,20
0.221054863784599,0.166832630220717,0.274931655075206,6,7,2,2,20
0.217374855166346,0.163363641991966,0.271051752968069,6,9,2,2,20
0.217805517268045,0.163619725569648,0.271672066996247,6,11,3,3,20
0.194593908928883,0.140083889415002,0.248767066301553,6,14,3,3,20
-0.146834633434199,-0.202259308975236,-0.0918374778734983,7,2,1,1,20
0.13178458785363,0.0791828993463038,0.184007347705618,7,3,1,1,20
0.299897607123535,0.246747267570927,0.352673752218756,7,4,1,1,20
0.274706255394396,0.220629003474797,0.32842071797611,7,5,2,2,20
0.224549328071256,0.169882390625681,0.278854361892716,7,6,2,2,20
0.206268507557592,0.150965438427954,0.261187929385592,7,7,2,2,20
0.203949471359739,0.148906758738148,0.258610469709256,7,9,2,2,20
0.202329011466812,0.147066872471649,0.257228649248718,7,11,3,3,20
0.178092380882863,0.122358209991006,0.233438345466039,7,14,3,3,20
-0.0874314363192715,-0.143780499164543,-0.0315342191286358,8,2,1,1,20
0.184004138748795,0.130835261861402,0.236771531183115,8,3,1,1,20
0.342219499688596,0.288784922628644,0.395253237057106,8,4,1,1,20
0.326705309854457,0.272231524224629,0.380793488176938,8,5,2,2,20
0.276765086399113,0.22168243914523,0.331466566857514,8,6,2,2,20
0.256312799075341,0.200589759694099,0.311634753001913,8,7,2,2,20
0.255148329476431,0.199708156237871,0.31018590232273,8,9,2,2,20
0.251454829590995,0.195748605281927,0.306781316436522,8,11,3,3,20
0.227071039767547,0.170830722202998,0.282903958285725,8,14,3,3,20
-0.161153966476926,-0.219113609375267,-0.103713511745015,9,2,1,1,20
0.0896596304063085,0.035054586450862,0.143810214402351,9,3,1,1,20
0.232002998220887,0.177254960026754,0.28629918277044,9,4,1,1,20
0.214431619322612,0.158678985657122,0.269754698062531,9,5,2,2,20
0.161473287252525,0.105202098976354,0.217325175335255,9,6,2,2,20
0.137951302861642,0.081058007074662,0.194411707128979,9,7,2,2,20
0.138334735595263,0.08173255612467,0.194499968469717,9,9,2,2,20
0.134813456238887,0.0779842901671585,0.191235318043622,9,11,3,3,20
0.112544441619048,0.0552712707554878,0.169389957306266,9,14,3,3,20
-0.183318426469066,-0.242765697497644,-0.124451757954335,10,2,1,1,20
0.0576583048089971,0.00176988676410055,0.11304348211765,10,3,1,1,20
0.193138564825239,0.137176043316993,0.248602595157703,10,4,1,1,20
0.17421074293519,0.117331317200168,0.230616259627309,10,5,2,2,20
0.121678293799915,0.06437853898787,0.178517719571397,10,6,2,2,20
0.0969586345684304,0.0390989031162896,0.154349788266263,10,7,2,2,20
0.0987462613505758,0.0411904819082343,0.155828814577137,10,9,2,2,20
0.0957646588767726,0.0379671121002753,0.153127967844428,10,11,3,3,20
0.081568603302354,0.0235010914599919,0.139191505095494,10,14,3,3,20
-0.0942572094297923,-0.154312928640791,-0.0348305698385393,11,2,1,1,20
0.127673959158573,0.0716027528810908,0.183199911820008,11,3,1,1,20
0.253901850905625,0.197925910286025,0.309339380897863,11,4,1,1,20
