,coef,high,low
439,4.661108534808305,5.095299210189338,4.226917859427272
417,4.654459084224648,6.904901920239752,2.4040162482095435
229,4.64313647818229,5.32179709481247,3.9644758615521107
489,4.6427729849918915,7.552857953285291,1.732688016698492
142,4.614805961390958,5.9315722805497755,3.2980396422321396
293,4.603713483498474,4.801792428784436,4.405634538212512
494,4.603449036064253,9.275946635346436,-0.06904856321793051
48,4.6032372972028295,6.336919454532334,2.8695551398733246
336,4.596980856974117,6.06504016731684,3.1289215466313935
168,4.596630047098164,4.860891583573241,4.332368510623087
86,4.5901653876460395,6.343905914209824,2.8364248610822553
134,4.589993809101362,5.233188266095029,3.9467993521076945
9,4.580211074459058,4.915183173250499,4.2452389756676165
204,4.536430632820491,9.643177064035152,-0.5703157983941693
18,4.529008030517366,4.749440023590159,4.308576037444572
399,4.527936728643193,4.8615287223282175,4.194344734958169
508,4.523417828769472,5.603307864264339,3.4435277932746047
221,4.5141172527178846,5.612788379924579,3.4154461255111905
252,4.482813102127368,7.723316844468993,1.2423093597857426
412,4.469324143954804,7.218202852986877,1.720445434922731
488,4.465935009033407,6.243031302679394,2.68883871538742
78,4.455192486760781,5.18199285175732,3.7283921217642426
103,4.441553795392476,4.6157592766188635,4.267348314166089
372,4.429406190459,4.593565657193493,4.265246723724506
463,4.417377939449566,5.188820825097535,3.6459350538015975
500,4.415916284512392,4.746001013901408,4.0858315551233755
64,4.4142410411030735,4.706664574831202,4.121817507374945
115,4.413700097519561,5.026064700960522,3.8013354940785993
503,4.412296339684579,4.845788929540151,3.978803749829006
467,4.3856343200242875,5.27485364746904,3.4964149925795347
405,4.355969310459388,5.2404938489298525,3.4714447719889234
371,4.345975727935337,4.542807041304999,4.149144414565675
498,4.311707266100321,4.80534862988039,3.8180659023202512
227,4.306037919943711,4.575344281045926,4.036731558841496
79,4.292261766411433,4.705575601090817,3.878947931732049
59,4.2721150139184605,5.344597942394209,3.1996320854427123
70,4.251900594091383,4.373904100355152,4.129897087827614
10,4.251701185490811,6.232930647321178,2.270471723660444
225,4.249152269883714,4.583983706373147,3.914320833394281
23,4.223341957520232,4.481064860621305,3.9656190544191583
169,4.218190944575423,10.207476615161426,-1.7710947260105794
75,4.210578234389142,5.8011809569071096,2.619975511871174
121,4.209478364840388,4.558258326718922,3.860698402961854
87,4.191140005336145,5.297868812808138,3.084411197864151
295,4.190313242862834,5.844288670086613,2.536337815639054
235,4.185279496441153,5.652054021659988,2.718504971222317
471,4.151832476972733,5.731469571830577,2.572195382114889
453,4.141387498043307,5.019161250800152,3.263613745286462
123,4.136367027222645,4.581918137602062,3.690815916843229
8,4.121705157712592,5.4232535271921805,2.8201567882330028
155,4.106261654793316,4.514336103326998,3.698187206259635
521,4.102217883839582,11.459168696923703,-3.254732929244538
341,4.085758840164194,6.873103126295907,1.2984145540324823
220,4.0695911777025255,4.781105744728662,3.3580766106763895
450,4.067981780303576,5.6502481492825645,2.485715411324587
317,4.04540201391468,5.646748010041111,2.4440560177882498
177,4.037051987094625,4.684461604622446,3.3896423695668036
485,4.020518943931897,4.572026215349535,3.46901167251426
395,3.995817401909475,4.084727490926274,3.906907312892677
159,3.9848799170252747,4.7171996094362125,3.252560224614337
414,3.979098713343835,4.496277776666481,3.461919650021189
312,3.9601318278299127,4.78370863038875,3.136555025271076
403,3.950811933979623,4.1672359921196795,3.734387875839566
394,3.9209754686455818,8.466051699775068,-0.6241007624839043
218,3.914848804149278,4.451812241018132,3.377885367280424
266,3.9030795006714403,9.106550533592038,-1.300391532249158
367,3.8749088321167795,4.657830441277216,3.0919872229563423
111,3.8735106366952423,4.737543920245594,3.0094773531448906
138,3.8664119130458428,4.1233850735941715,3.6094387524975144
345,3.860829679826721,4.934588386858347,2.787070972795095
261,3.85694623448686,5.995797274039058,1.7180951949346626
17,3.843172176177336,4.871524601044723,2.8148197513099484
44,3.8418643498892924,4.832535304016564,2.851193395762021
73,3.840342379267579,5.369677923340694,2.3110068351944637
213,3.8314163820245293,5.28439619359469,2.3784365704543684
433,3.8172167547989924,5.293780122330039,2.3406533872679454
22,3.815639675782146,5.065521779139934,2.5657575724243573
84,3.804270386591307,4.427511993967606,3.1810287792150076
96,3.7948469879999864,5.758175504524633,1.8315184714753394
267,3.7908147513511437,5.565787630110867,2.0158418725914204
461,3.769584569279152,4.3107835697460875,3.2283855688122163
540,3.768498911916736,4.718098087938179,2.818899735895293
350,3.7662531114092115,5.696600959635544,1.8359052631828794
55,3.724037768568399,5.875537426380445,1.5725381107563536
234,3.7191693524525715,10.113865710572815,-2.675527005667672
3,3.7007886823492515,4.467858216884446,2.933719147814057
469,3.6945144773146796,4.533709047240217,2.855319907389142
