,coef,high,low
105,1.9753378545065505,2.3028716540625824,1.6478040549505188
364,1.9623656110976204,2.1474667884700303,1.7772644337252106
118,1.9613534476177392,2.2655945271247173,1.6571123681107611
237,1.9151921680397372,2.118464979890135,1.711919356189339
117,1.910819534790316,2.337525360692876,1.4841137088877563
179,1.9053536640350206,2.0851688024096577,1.7255385256603832
164,1.8865908045292858,2.1252856006166563,1.6478960084419154
147,1.8769529838324477,2.0722420735039697,1.6816638941609257
531,1.8576265509822245,2.6167541140733386,1.0984989878911104
124,1.8463478682909684,2.0980896763691814,1.5946060602127556
269,1.8438054010090335,2.0375050436343254,1.6501057583837415
18,1.8230779225235976,1.9817207032413764,1.6644351418058188
24,1.8111902049153015,1.9961375258997944,1.6262428839308085
102,1.8092616334607903,2.004670348643327,1.6138529182782537
277,1.8041225360254471,1.9992184201773127,1.6090266518735816
458,1.8027348954893356,3.4652563856938685,0.14021340528480275
293,1.7937001927961564,1.936924437860314,1.6504759477319988
74,1.7851229217847848,1.9765396489378164,1.5937061946317532
361,1.765767532613115,1.9957717333180172,1.535763331908213
172,1.7592395182142189,1.9647956076790916,1.5536834287493462
46,1.7588065157468529,1.9345648837224076,1.583048147771298
323,1.7560567563922898,2.0264279271312535,1.485685585653326
423,1.7155918994760728,1.996150014087037,1.4350337848651087
227,1.6847527394170718,1.8661896762552679,1.5033158025788758
322,1.6784335717189411,1.9050141388200066,1.4518530046178757
34,1.6698357329753617,2.056519495170882,1.2831519707798413
339,1.6580796372275706,1.8926961576324635,1.4234631168226777
64,1.6533572652361839,1.8683224576040764,1.4383920728682913
523,1.6375520931840706,2.062962109599071,1.2121420767690705
135,1.6360364975592836,1.8941977497511824,1.3778752453673848
509,1.6315087759475722,1.9153011141264744,1.34771643776867
325,1.6238409612191174,2.0291842514112663,1.2184976710269684
174,1.608686425372582,1.88177511131,1.3355977394351641
380,1.573183397925675,1.8438745466489803,1.3024922492023698
396,1.5667011389181824,1.8534290392971517,1.279973238539213
126,1.5517771053904394,1.7595202506603753,1.3440339601205036
517,1.54912262515422,4.119858192162688,-1.0216129418542481
195,1.5423535287815051,1.7676701608131236,1.3170368967498867
332,1.5293597774845338,1.9737872664242335,1.084932288544834
534,1.5037187252719004,2.215320646995131,0.79211680354867
310,1.4994932688637947,1.7864271967586287,1.2125593409689608
100,1.482026975467401,1.6630212436448983,1.3010327072899035
358,1.4796934257960044,1.7897038599551565,1.1696829916368523
434,1.469431722184676,1.7883006237070511,1.1505628206623009
45,1.466747654980777,1.8303641181972825,1.1031311917642714
