"","date","ZIPS"
"346",2020-07-21,6019
"347",2020-07-22,6019
"348",2020-07-23,6019
"349",2020-07-24,6019
"350",2020-07-25,6019
"351",2020-07-26,6019
"352",2020-07-15,6069
"353",2020-07-16,6069
"354",2020-07-17,6069
"355",2020-07-18,6069
"356",2020-07-15,6043
"357",2020-07-16,6043
"358",2020-07-17,6043
"359",2020-07-18,6043
"360",2020-07-15,6115
"361",2020-07-16,6001
"362",2020-07-17,6001
"363",2020-07-18,6001
"364",2020-07-19,6001
"365",2020-07-17,6071
"366",2020-07-18,6071
"367",2020-07-19,6071
"368",2020-07-20,6071
"369",2020-07-18,6093
"370",2020-07-19,6093
"371",2020-07-20,6093
"372",2020-07-21,6093
"373",2020-07-22,6093
"374",2020-07-23,6093
"375",2020-07-24,6093
"376",2020-07-25,6093
"377",2020-07-26,6093
"378",2020-07-27,6093
"379",2020-07-28,6093
"380",2020-07-18,6035
"381",2020-07-19,6035
"382",2020-07-20,6035
"383",2020-07-21,6035
"384",2020-07-22,6035
"385",2020-07-23,6035
"386",2020-07-24,6035
"387",2020-07-25,6035
"388",2020-07-26,6035
"389",2020-07-27,6035
"390",2020-07-28,6035
"391",2020-07-29,6035
"392",2020-07-30,6035
"393",2020-07-31,6035
"394",2020-08-01,6035
"395",2020-08-02,6035
"396",2020-08-03,6035
"397",2020-08-04,6035
"398",2020-08-05,6035
"399",2020-08-06,6035
"400",2020-08-07,6035
"401",2020-08-08,6035
"402",2020-08-09,6035
"403",2020-08-10,6035
"404",2020-08-11,6035
"405",2020-08-12,6035
"406",2020-08-13,6035
"407",2020-08-14,6035
"408",2020-08-15,6035
"409",2020-08-16,6035
"410",2020-08-17,6035
"411",2020-07-19,6089
"412",2020-07-20,6089
"413",2020-07-21,6089
"414",2020-07-22,6089
"415",2020-07-23,6089
"416",2020-07-24,6089
"417",2020-07-25,6089
"418",2020-07-26,6089
"419",2020-07-27,6089
"420",2020-07-20,6035
"421",2020-07-21,6035
"422",2020-07-22,6035
"423",2020-07-23,6035
"424",2020-07-24,6035
"425",2020-07-25,6035
"426",2020-07-26,6035
"427",2020-07-27,6035
"428",2020-07-28,6035
"429",2020-07-29,6035
"430",2020-07-30,6035
"431",2020-07-31,6035
"432",2020-08-01,6035
"433",2020-08-02,6035
"434",2020-08-03,6035
"435",2020-08-04,6035
"436",2020-08-05,6035
"437",2020-08-06,6035
"438",2020-08-07,6035
"439",2020-08-08,6035
"440",2020-08-09,6035
"441",2020-08-10,6035
"442",2020-08-11,6035
"443",2020-08-12,6035
"444",2020-07-20,6023
"445",2020-07-21,6023
"446",2020-07-22,6023
"447",2020-07-23,6023
"448",2020-07-24,6023
"449",2020-07-25,6023
"450",2020-07-26,6023
"451",2020-07-27,6023
"452",2020-07-28,6023
"453",2020-07-29,6023
"454",2020-07-30,6023
"455",2020-07-31,6023
"456",2020-08-01,6023
"457",2020-08-02,6023
"458",2020-08-03,6023
"459",2020-08-04,6023
"460",2020-08-05,6023
"461",2020-08-06,6023
"462",2020-08-07,6023
"463",2020-08-08,6023
"464",2020-08-09,6023
"465",2020-08-10,6023
"466",2020-08-11,6023
"467",2020-08-12,6023
"468",2020-08-13,6023
"469",2020-08-14,6023
"470",2020-08-15,6023
"471",2020-08-16,6023
"472",2020-08-17,6023
"473",2020-08-18,6023
"474",2020-07-20,6007
"475",2020-07-21,6007
"476",2020-07-20,6013
"477",2020-07-20,6071
"478",2020-07-21,6071
"479",2020-07-20,6039
"480",2020-07-21,6039
"481",2020-07-21,6051
"482",2020-07-22,6051
"483",2020-07-23,6051
"484",2020-07-24,6051
"485",2020-07-25,6051
"486",2020-07-26,6051
"487",2020-07-27,6051
"488",2020-07-28,6051
"489",2020-07-29,6051
"490",2020-07-30,6051
"491",2020-07-31,6051
"492",2020-08-01,6051
"493",2020-08-02,6051
"494",2020-08-03,6051
"495",2020-08-04,6051
"496",2020-08-05,6051
"497",2020-08-06,6051
"498",2020-08-07,6051
"499",2020-08-08,6051
"500",2020-08-09,6051
"501",2020-08-10,6051
"502",2020-08-11,6051
"503",2020-08-12,6051
"504",2020-07-24,6065
"505",2020-07-25,6065
"506",2020-07-24,6011
"507",2020-07-25,6011
"508",2020-07-25,6065
"509",2020-07-26,6065
"510",2020-07-27,6065
"511",2020-07-28,6065
"512",2020-07-26,6067
"513",2020-07-27,6037
"514",2020-07-28,6037
"515",2020-07-29,6037
"516",2020-07-30,6037
"517",2020-07-27,6023
"518",2020-07-28,6023
"519",2020-07-29,6023
"520",2020-07-30,6023
"521",2020-07-31,6023
"522",2020-07-28,6079
"523",2020-07-29,6079
"524",2020-07-30,6079
"525",2020-07-31,6079
"526",2020-08-01,6079
"527",2020-07-29,6071
"528",2020-07-30,6071
"529",2020-07-31,6071
"530",2020-08-01,6071
"531",2020-07-29,6067
"532",2020-07-30,6067
"533",2020-07-30,6065
"534",2020-07-31,6065
"535",2020-07-30,6029
"536",2020-07-31,6029
"537",2020-08-01,6079
"538",2020-08-02,6079
"539",2020-08-03,6079
"540",2020-08-04,6079
"541",2020-08-05,6079
"542",2020-08-06,6079
"543",2020-08-07,6079
"544",2020-08-08,6079
"545",2020-08-09,6079
"546",2020-08-02,6017
"547",2020-08-02,6065
"548",2020-08-03,6065
"549",2020-08-04,6065
"550",2020-08-02,6035
"551",2020-08-03,6035
"552",2020-08-04,6035
"553",2020-08-05,6035
"554",2020-08-06,6035
"555",2020-08-07,6035
"556",2020-08-08,6035
"557",2020-08-09,6035
"558",2020-08-10,6035
"559",2020-08-02,6011
"560",2020-08-03,6011
"561",2020-08-04,6011
"562",2020-08-05,6011
"563",2020-08-02,6037
"564",2020-08-03,6037
"565",2020-08-04,6037
"566",2020-08-02,6115
"567",2020-08-03,6115
"568",2020-08-03,6037
"569",2020-08-04,6037
"570",2020-08-05,6037
"571",2020-08-06,6037
"572",2020-08-03,6029
"573",2020-08-04,6029
"574",2020-08-05,6029
"575",2020-08-06,6029
"576",2020-08-07,6029
"577",2020-08-08,6029
"578",2020-08-09,6029
"579",2020-08-10,6029
"580",2020-08-11,6029
"581",2020-08-12,6029
"582",2020-08-13,6029
"583",2020-08-14,6029
"584",2020-08-15,6029
"585",2020-08-16,6029
"586",2020-08-17,6029
"587",2020-08-18,6029
"588",2020-08-04,6079
"589",2020-08-05,6079
"590",2020-08-06,6029
"591",2020-08-07,6029
"592",2020-08-10,6045
"593",2020-08-11,6045
"594",2020-08-12,6045
"595",2020-08-10,6061
"596",2020-08-11,6061
"597",2020-08-11,6035
"598",2020-08-12,6035
"599",2020-08-12,6029
"600",2020-08-12,6037
"601",2020-08-13,6037
