"FIPS","date","cases","cumu_cases","deaths","cumu_deaths","population","pm25","Long","Lat","pr","tmmx","srad","sph","rmax","dayofweek","date_str","date_num","fireday"
"53067","2020-03-15",0,3,0,0,290536,3.18076923076923,-122.821503,47.0293009990592,0,281.4852113,204.4133803,0.002864296,82.62957746,"Sunday",2020-03-15,0,0
"53069","2020-03-15",0,0,0,0,4488,NA,NA,NA,0,282.7745098,182.2117647,0.002862549,85.89019608,"Sunday",2020-03-15,0,0
"53071","2020-03-15",0,0,0,0,60760,4.78076923076923,-118.3514,46.0587999990575,0.736607143,275.6665179,159.303125,0.002451071,81.93125,"Sunday",2020-03-15,0,0
"53073","2020-03-15",1,3,0,0,229247,3.3625,-122.385987,48.8861449990656,0.007223476,278.0749436,222.5153499,0.002110587,91.33995485,"Sunday",2020-03-15,0,0
"53075","2020-03-15",0,0,0,0,50104,3.71538461538462,-117.474166666667,46.923699999059,0,276.7494709,176.1021164,0.002411508,88.03650794,"Sunday",2020-03-15,0,0
"53077","2020-03-15",0,4,0,0,250873,4.37307692307693,-120.3637085,46.3478804990579,1.140183246,273.6274869,145.1172775,0.002018979,80.84541885,"Sunday",2020-03-15,0,0
"06000","2020-03-16",0,21,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Monday",2020-03-16,1,0
"06001","2020-03-16",3,18,0,0,1671329,2.09230769230769,-122.117610333333,37.7674999990863,2.809230769,283.4246154,117.2384615,0.005037692,96.23307692,"Monday",2020-03-16,1,0
"06003","2020-03-16",0,0,0,0,1129,NA,NA,NA,26.37079646,273.8681416,187.2132743,0.003197611,98.48318584,"Monday",2020-03-16,1,0
"06005","2020-03-16",1,1,0,0,39752,NA,NA,NA,26.58723404,278.1574468,119.7723404,0.005305745,99.95638298,"Monday",2020-03-16,1,0
"06007","2020-03-16",0,0,0,0,219186,1.46923076923077,-121.70021,39.6228099990731,15.03901515,281.4628788,117.7655303,0.004680417,88.97310606,"Monday",2020-03-16,1,0
"06009","2020-03-16",0,2,0,0,45905,1.8,-120.680277,38.2018499990829,32.16139241,277.7373418,117.2791139,0.005324114,99.94620253,"Monday",2020-03-16,1,0
"06011","2020-03-16",0,0,0,0,21547,0.403846153846154,-121.99887,39.1891899990758,2.360555556,283.6783333,137.0683333,0.004708833,86.43166667,"Monday",2020-03-16,1,0
"06013","2020-03-16",5,34,0,0,1153526,3.81346153846154,-122.19105,37.9493499990848,1.660833333,283.5833333,123.9091667,0.005086417,93.59416667,"Monday",2020-03-16,1,0
"06015","2020-03-16",0,0,0,0,27812,2.43461538461539,-124.20347,41.7561299990626,0.634042553,283.1138298,208.137234,0.003473138,93.54361702,"Monday",2020-03-16,1,0
"06017","2020-03-16",0,0,0,0,192843,NA,NA,NA,28.65821429,276.6471429,127.6085714,0.004501,99.39571429,"Monday",2020-03-16,1,0
"06019","2020-03-16",0,2,0,0,999101,0.676923076923077,-120.084836666667,36.5390599990972,26.68415179,280.4583705,105.9020089,0.004980246,99.89174107,"Monday",2020-03-16,1,0
"06021","2020-03-16",0,0,0,0,28393,2.87307692307692,-122.190834,39.5338699990736,4.665550239,283.3631579,161.469378,0.004541244,84.73062201,"Monday",2020-03-16,1,0
"06023","2020-03-16",0,1,0,0,135558,NA,NA,NA,4.74288,282.99296,194.99072,0.00383208,96.05824,"Monday",2020-03-16,1,0
"06025","2020-03-16",0,0,0,0,181215,4.29615384615385,-115.48307,32.6761799991421,0.044806202,296.3130233,244.2976744,0.00762293,90.79255814,"Monday",2020-03-16,1,0
"06027","2020-03-16",0,0,0,0,18039,3.08076923076923,-118.1009175,36.9242504990937,4.505479452,284.8602087,139.8726027,0.004741344,91.56575342,"Monday",2020-03-16,1,0
"06029","2020-03-16",0,0,0,0,900202,3.17307692307692,-118.691697666667,35.0828883324456,12.74590571,286.4538462,102.82134,0.005576485,99.86071133,"Monday",2020-03-16,1,0
"06031","2020-03-16",0,0,0,0,152940,NA,NA,NA,15.26407767,286.5849515,86.68932039,0.006437379,100,"Monday",2020-03-16,1,0
"06033","2020-03-16",0,0,0,0,64386,NA,NA,NA,2.464039409,281.8374384,143.4970443,0.004011576,94.41477833,"Monday",2020-03-16,1,0
"06035","2020-03-16",0,0,0,0,30573,NA,NA,NA,11.32614555,277.2555256,163.2373315,0.003487493,98.16765499,"Monday",2020-03-16,1,0
"06037","2020-03-16",25,94,0,1,10039107,6.36923076923077,-118.258279714286,34.2052308562653,15.83508772,286.0826023,148.7554094,0.005853772,98.5377193,"Monday",2020-03-16,1,0
"06039","2020-03-16",0,1,0,0,157327,0.469230769230769,-120.0341,36.9532999990933,29.5597561,280.2121951,122.6256098,0.005233598,99.2222561,"Monday",2020-03-16,1,0
"06041","2020-03-16",5,9,0,0,258826,2.68076923076923,-122.5189,37.9721999990846,0.605737705,285.3016393,161.5778689,0.004600902,85.3147541,"Monday",2020-03-16,1,0
"06043","2020-03-16",0,0,0,0,17203,4.05,-119.587094,37.7487069990865,36.66576577,278.222973,120.5675676,0.004507838,97.90810811,"Monday",2020-03-16,1,0
"06045","2020-03-16",0,0,0,0,86749,6.15,-123.2795945,39.2811104990752,3.994276094,283.6193603,157.4218855,0.003967963,95.81632997,"Monday",2020-03-16,1,0
"06047","2020-03-16",0,0,0,0,277680,2.38076923076923,-120.433601,37.2816999990904,12.9718543,281.9748344,95.01688742,0.006404735,99.9192053,"Monday",2020-03-16,1,0
"06049","2020-03-16",0,0,0,0,8841,NA,NA,NA,4.975142857,279.7021429,156.8617143,0.003572786,98.64328571,"Monday",2020-03-16,1,0
