"base","base.low","base.high","hazard","hazard.low","hazard.high","lag","df.date","df.tmmx","df.rmax","cause","mobility"
"10.4686749208301","8.1186074856439","12.8698234518456","1.71183896883773","1.01288066648386","2.41563371091302","3","11","3","3","cases",0
"9.90197969334663","7.51837962120427","12.3384223522535","1.65149590457725","0.953125500631713","2.3546974736669","3","12","3","3","cases",0
"9.41738366381994","6.83570787607743","12.0614454272397","1.27006104805971","0.551040193998986","1.9942234798463","4","3","1","1","cases",0
"10.2488893056382","7.58911801072273","12.9744143075461","2.64300061511633","1.95714400286553","3.3334709236134","4","4","1","1","cases",0
"10.702327072453","8.12182458803179","13.3444174286797","2.34351676104634","1.65221815179026","3.03951663286064","4","5","2","2","cases",0
"9.30892832729506","6.70468014889227","11.9767361224387","1.93385609272723","1.2360193336308","2.63650315694577","4","6","2","2","cases",0
"9.10059143468143","6.51509877270824","11.7488430142366","1.76427130850441","1.06384686853536","2.46955005009866","4","7","2","2","cases",0
"9.527794900165","6.97830270442086","12.1380462432488","1.78994815818843","1.0909068016387","2.4938233700633","4","8","2","2","cases",0
"8.80039544129936","6.16034868482076","11.5060961539183","1.84365205484056","1.13664967202287","2.55559678418578","4","9","3","3","cases",0
"8.92095577963001","6.29149100636388","11.6154688924046","1.8242166494115","1.1158175613438","2.53757865307518","4","10","3","3","cases",0
"9.12572971851393","6.53110506748389","11.7835479041972","1.8329881002014","1.12746554728447","2.54343277857636","4","11","3","3","cases",0
"8.4416059376119","5.81063107161515","11.1379998326363","1.74483563646775","1.03869308255702","2.45591330277186","4","12","3","3","cases",0
