"pm","pm.low","pm.high","max.lag","df.date","df.tmmx","df.rmax","cause","mobility"
"15.8550426144329","11.2277740739616","20.6748135611054","3","3","1","1","cases",0
"24.3768197119066","19.4650893773219","29.4904926809917","3","4","1","1","cases",0
"27.9367960722332","22.9601253970373","33.114891810468","3","5","2","2","cases",0
"26.1776245479467","21.1777610535301","31.3837852601488","3","6","2","2","cases",0
"21.3702643988481","16.3955126712652","26.5576373365028","3","7","2","2","cases",0
"20.7197296673706","15.7975229832186","25.8511646494804","3","8","2","2","cases",0
"22.523055838313","17.4917998447103","27.7697612241849","3","9","3","3","cases",0
"21.711465260207","16.6622746016814","26.9791869425206","3","10","3","3","cases",0
"20.907858562835","15.842075335396","26.1951688963199","3","11","3","3","cases",0
"21.3952594850613","16.3483474606693","26.6610944382087","3","12","3","3","cases",0
"20.5365964016717","15.2849284144793","26.0274978864862","4","3","1","1","cases",0
"31.4355860006632","25.7777637871617","37.3479122793965","4","4","1","1","cases",0
"35.8620634608544","30.0702757522969","41.9117487149271","4","5","2","2","cases",0
"34.0104633376965","28.1681894944373","40.1190447865656","4","6","2","2","cases",0
"28.1243876694706","22.3039356211601","34.2218353996831","4","7","2","2","cases",0
"27.0488013760826","21.287236229454","33.0840608863625","4","8","2","2","cases",0
"28.8058796078317","22.9383010957364","34.9535049181073","4","9","3","3","cases",0
"27.8880654667561","22.008459973474","34.0510100068892","4","10","3","3","cases",0
"26.93254286245","21.0341090603451","33.1184288678049","4","11","3","3","cases",0
"27.4443008914163","21.5653031636828","33.6076117692282","4","12","3","3","cases",0
"23.6328508766702","17.6972174839637","29.8678264673129","5","3","1","1","cases",0
"36.5965549550713","30.1151771174341","43.4007872022008","5","4","1","1","cases",0
"40.9509540830811","34.3045005359155","47.9263269485001","5","5","2","2","cases",0
"39.0195154616203","32.3047130465604","46.0751112651775","5","6","2","2","cases",0
"31.9069110719336","25.2180683441745","38.9530554066277","5","7","2","2","cases",0
"30.3890195291808","23.7643530740629","37.3682808619959","5","8","2","2","cases",0
"32.5907130169486","25.8001228941284","39.747853769095","5","9","3","3","cases",0
"31.5420910140128","24.7462909218483","38.7081057117691","5","10","3","3","cases",0
"30.3745133404393","23.5533949500945","37.5722110721604","5","11","3","3","cases",0
"30.9587461526477","24.1533328841627","38.13719531698","5","12","3","3","cases",0
"28.4007899907271","21.3025878871618","35.9143539920116","6","3","1","1","cases",0
"42.4581663169108","34.7155659615212","50.6457624664792","6","4","1","1","cases",0
"47.1982772865319","39.2360277021301","55.6158502487301","6","5","2","2","cases",0
"45.4016180122169","37.3656865473035","53.9076537377496","6","6","2","2","cases",0
"36.801340897976","28.8439006726958","45.2502351587852","6","7","2","2","cases",0
"34.590048156499","26.7180556173277","42.9510654540985","6","8","2","2","cases",0
"36.3611508510571","28.3677358356099","44.8523130861873","6","9","3","3","cases",0
"35.1437761267264","27.1624429157032","43.6260566171882","6","10","3","3","cases",0
"33.6864677004045","25.6714840722519","42.2126250688355","6","11","3","3","cases",0
"34.4691906529345","26.4427023459092","43.0051944428429","6","12","3","3","cases",0
"30.1922010307069","22.3521020531555","38.5346792150422","7","3","1","1","cases",0
"44.0151882663218","35.5334083467966","53.0277641827954","7","4","1","1","cases",0
"48.8655834601023","40.1341192142382","58.1410870042065","7","5","2","2","cases",0
"47.2725529060788","38.4682993729067","56.6366087956561","7","6","2","2","cases",0
"37.5750674949986","28.881975230962","46.8545090369357","7","7","2","2","cases",0
"34.8107265536466","26.218273586246","43.988120559292","7","8","2","2","cases",0
"36.1090893459002","27.4183327471817","45.3926119040355","7","9","3","3","cases",0
"34.819896675511","26.1543833307219","44.0806419856602","7","10","3","3","cases",0
"33.0376882036212","24.3289929641723","42.3563889692586","7","11","3","3","cases",0
"33.9569418571303","25.2022084971353","43.3238477748191","7","12","3","3","cases",0
"34.4315239375342","25.8045481036029","43.6500897669078","8","3","1","1","cases",0
"47.0552238455964","37.8773109605727","56.8440718028103","8","4","1","1","cases",0
"51.7284498658781","42.2805316514999","61.8037424479894","8","5","2","2","cases",0
"50.4342664303208","40.9197616189932","60.5911637688905","8","6","2","2","cases",0
"39.9061005717557","30.5225126017967","49.9642980127917","8","7","2","2","cases",0
"36.5572505285659","27.2838968478658","46.5062206117882","8","8","2","2","cases",0
"37.7206655564105","28.3710834347377","47.7512007674474","8","9","3","3","cases",0
"36.3639688166617","27.0517671020691","46.3587041374464","8","10","3","3","cases",0
"34.2600674608062","24.8869071049227","44.3367133708903","8","11","3","3","cases",0
"35.3601373476352","25.8853375068049","45.5480610025789","8","12","3","3","cases",0
"36.9509750951981","27.6096855881443","46.9760660649106","9","3","1","1","cases",0
"49.1523216519524","39.2879940201684","59.7152375598594","9","4","1","1","cases",0
