"pm","pm.low","pm.high","lag","max.lag","cause","mobility","df.date","df.tmmx","df.rmax"
-0.770190221916323,-2.89135975182099,1.39731257105431,5,21,"cases",1,6,2,2
0.776299834926331,-1.36865431630953,2.96790070155486,6,21,"cases",1,6,2,2
3.06941036774264,0.884636839797159,5.30149769408133,7,21,"cases",1,6,2,2
-4.11865594927281,-6.29622701643379,-1.89048056169275,8,21,"cases",1,6,2,2
-0.0628723464238479,-2.32739787768662,2.25415589051394,9,21,"cases",1,6,2,2
1.69575804919371,-0.490239822099769,3.92977720688921,10,21,"cases",1,6,2,2
3.78599631786736,1.63168879852897,5.98596913060727,11,21,"cases",1,6,2,2
-1.91013468344536,-4.07782904931019,0.306546259946128,12,21,"cases",1,6,2,2
-0.326747157474672,-2.55105961891244,1.94833615797916,13,21,"cases",1,6,2,2
-0.192999775552838,-2.47522550337427,2.14263345102583,14,21,"cases",1,6,2,2
1.06089912883947,-1.2752602320396,3.45233987685867,15,21,"cases",1,6,2,2
-3.6441149947987,-5.93783321585691,-1.29446415537238,16,21,"cases",1,6,2,2
3.95237736240537,1.70577011902193,6.24861054245018,17,21,"cases",1,6,2,2
2.02509743008814,-0.195702164710465,4.29531324189574,18,21,"cases",1,6,2,2
-3.69741362748539,-5.9661895411074,-1.37389842252645,19,21,"cases",1,6,2,2
2.07487628838812,-0.253022058671959,4.45710320585795,20,21,"cases",1,6,2,2
-0.0457832109719836,-1.62223848442202,1.55593398337259,21,21,"cases",1,6,2,2
-0.236220031197243,-3.06787851070507,2.67815911532348,0,14,"deaths",0,6,2,2
3.46744080253967,-0.524815463154926,7.61991903882104,1,14,"deaths",0,6,2,2
-2.51543893415461,-6.56487202825948,1.70949462470684,2,14,"deaths",0,6,2,2
-1.28172458053863,-5.40985053557018,3.02656203601099,3,14,"deaths",0,6,2,2
2.52354717590277,-1.46647411789464,6.67514058216074,4,14,"deaths",0,6,2,2
-0.85397040483568,-4.8354857077125,3.29412447053128,5,14,"deaths",0,6,2,2
1.91970955401397,-2.24940761603917,6.26664189176818,6,14,"deaths",0,6,2,2
-2.99607819494229,-7.34524159240026,1.55723254025497,7,14,"deaths",0,6,2,2
-0.805657559905593,-5.20953511275859,3.80282008140136,8,14,"deaths",0,6,2,2
0.0993061884095203,-4.19296524304763,4.58387658922776,9,14,"deaths",0,6,2,2
3.50644575583738,-0.504649090140619,7.67924546255816,10,14,"deaths",0,6,2,2
4.36148342016212,0.463537426102079,8.4106681955938,11,14,"deaths",0,6,2,2
-7.71407651913011,-11.516841426744,-3.74787914396244,12,14,"deaths",0,6,2,2
