"pm","pm.low","pm.high","lag","df.date","df.tmmx","df.rmax","cause","mobility"
"2.74632705280413","1.82608477671733","3.67488591936531","7","3","1","1","cases",1
"4.00977707259029","3.12018316020815","4.907045305408","7","4","1","1","cases",1
"3.83332477261609","2.92554452256348","4.74911144115504","7","5","2","2","cases",1
"3.22798921555534","2.29337432825816","4.17114331659234","7","6","2","2","cases",1
"2.84158299486161","1.88219357767476","3.81000665072639","7","7","2","2","cases",1
"2.8757781831751","1.91949837976142","3.84103047052908","7","8","2","2","cases",1
"3.11598126459462","2.13108907984065","4.11037117060398","7","9","3","3","cases",1
"3.12971494381056","2.13741866605066","4.13165168356486","7","10","3","3","cases",1
"3.05410788806095","2.0635157559052","4.05431435463408","7","11","3","3","cases",1
"2.86199879229334","1.86108860848795","3.87274414681731","7","12","3","3","cases",1
"2.36833357733273","1.4057852905389","3.34001841587019","8","3","1","1","cases",1
"3.59242066011904","2.66359731001522","4.52964730835681","8","4","1","1","cases",1
"3.40377063519934","2.45251189238098","4.36386169631886","8","5","2","2","cases",1
"2.74432375407085","1.76022570771597","3.73793876993029","8","6","2","2","cases",1
"2.26901370292896","1.25297726487468","3.29524569346318","8","7","2","2","cases",1
"2.32073601204623","1.30978581551486","3.34177427945486","8","8","2","2","cases",1
"2.48838862457723","1.4477537895317","3.53969812534436","8","9","3","3","cases",1
"2.46494151109582","1.41515137780661","3.52559845579317","8","10","3","3","cases",1
"2.41040512698898","1.36477452242407","3.46682195750223","8","11","3","3","cases",1
"2.17842375651125","1.11958235837468","3.24835247403998","8","12","3","3","cases",1
"2.80765789102917","1.82105086419093","3.80382476248839","9","3","1","1","cases",1
"4.04888958266809","3.0974984303427","5.00906024117456","9","4","1","1","cases",1
"3.86321076107796","2.89051711013342","4.84509994301177","9","5","2","2","cases",1
"3.23265375955413","2.22904883270969","4.24611129542396","9","6","2","2","cases",1
"2.7797056152427","1.74673935716738","3.82315888545288","9","7","2","2","cases",1
"2.82574446355432","1.79861563579973","3.86323682741612","9","8","2","2","cases",1
"3.05189428688792","1.99749983088124","4.1171884970131","9","9","3","3","cases",1
"3.0277124271433","1.96475985962834","4.1017459618703","9","10","3","3","cases",1
"2.97467797515556","1.91727565665456","4.04305095251658","9","11","3","3","cases",1
"2.77906407345145","1.71158493483017","3.85774657412952","9","12","3","3","cases",1
"2.86283915605745","1.7348015292691","4.00338448786237","10","3","1","1","cases",1
"4.18107468288182","3.09962333243796","5.27386978983591","10","4","1","1","cases",1
"4.02802435684682","2.92727692916899","5.14054363874725","10","5","2","2","cases",1
"3.3675265606806","2.23093177168416","4.51675791369917","10","6","2","2","cases",1
"2.87803682318217","1.70979094850392","4.05970125285868","10","7","2","2","cases",1
"2.94939829186711","1.79154025639163","4.12042672664039","10","8","2","2","cases",1
"3.10017388791286","1.91270027973405","4.30148378505517","10","9","3","3","cases",1
"3.05335967751137","1.85698366953424","4.26378789379958","10","10","3","3","cases",1
"3.0415006558645","1.8572291969472","4.23954137690945","10","11","3","3","cases",1
"2.8832824425385","1.69364702154955","4.08683448935732","10","12","3","3","cases",1
"3.4742213052267","2.18698443433099","4.77767334061687","11","3","1","1","cases",1
"4.79249697926036","3.55690864276401","6.04282772702887","11","4","1","1","cases",1
"4.68300322006392","3.44116491880591","5.9397501156681","11","5","2","2","cases",1
"4.01216703989189","2.73175290507015","5.30853982732387","11","6","2","2","cases",1
"3.46847427247963","2.14899374044861","4.80499881846179","11","7","2","2","cases",1
"3.5903662529537","2.28812343950284","4.90918808152538","11","8","2","2","cases",1
"3.63676197760645","2.2951866397992","4.99593173452699","11","9","3","3","cases",1
"3.5459630037608","2.19248043594911","4.91737169542776","11","10","3","3","cases",1
"3.63660547908271","2.30531318690221","4.98522179004592","11","11","3","3","cases",1
"3.54169753088935","2.21296205410131","4.88770613949741","11","12","3","3","cases",1
"3.05973750921058","1.43777953383384","4.70763007903505","12","3","1","1","cases",1
"4.2876383359286","2.72007649646007","5.87912198508","12","4","1","1","cases",1
"4.24692944995515","2.66662013104753","5.85156388583108","12","5","2","2","cases",1
"3.44900826106085","1.81735684591406","5.10680734319708","12","6","2","2","cases",1
"2.70662788735454","1.0157490733312","4.42580992330062","12","7","2","2","cases",1
"2.98269191754887","1.32767981580126","4.66473577470536","12","8","2","2","cases",1
"2.71235999062567","1.01253218833552","4.44079230856198","12","9","3","3","cases",1
"2.53607699991003","0.811947193103313","4.28969362522871","12","10","3","3","cases",1
"2.87618792893369","1.19519075218679","4.58510887841355","12","11","3","3","cases",1
"2.898317744945","1.23749868731216","4.58638283273427","12","12","3","3","cases",1
"3.4081657391464","1.5908608612647","5.25797941743762","13","3","1","1","cases",1
"4.5195849439607","2.7852155541908","6.28321960465459","13","4","1","1","cases",1
"4.4174764504737","2.67338033676774","6.19119924291438","13","5","2","2","cases",1
"3.68456273546762","1.87289039729026","5.52845322950681","13","6","2","2","cases",1
"2.87000744202393","0.970971692465739","4.80475976157893","13","7","2","2","cases",1
"3.2014329894287","1.35208760592209","5.08452290083095","13","8","2","2","cases",1
"2.92223526484869","1.01152837062457","4.86908457662181","13","9","3","3","cases",1
"2.69589249333499","0.745649151448657","4.68388882132651","13","10","3","3","cases",1
"3.20988318140043","1.32412244119153","5.13074014039354","13","11","3","3","cases",1
"3.44597604654584","1.60506595186167","5.32024028499203","13","12","3","3","cases",1
"4.43806259509112","2.15441546688511","6.77276032333558","14","3","1","1","cases",1
"6.51538786008201","4.25338819310934","8.82646643549179","14","4","1","1","cases",1
"6.26628147283477","4.00747819964269","8.57414075926071","14","5","2","2","cases",1
"5.31835922824322","3.04825330797258","7.63847454434368","14","6","2","2","cases",1
"4.20730196333921","1.89133410600009","6.57591126622705","14","7","2","2","cases",1
"4.59677467222004","2.29202304227762","6.95345488777199","14","8","2","2","cases",1
