"pm","pm.low","pm.high","max.lag","df.date","df.tmmx","df.rmax","cause","mobility"
"0.632890025219202","-0.614792747895843","1.89623621893145","4","3","1","1","cases",1
"2.71499830581254","1.48862014501954","3.95619589553382","4","4","1","1","cases",1
"2.96384569317825","1.69600495748139","4.24749255746162","4","5","2","2","cases",1
"2.48538839747823","1.20710557396004","3.77981640139293","4","6","2","2","cases",1
"2.56901463083161","1.29563132491917","3.85840558705006","4","7","2","2","cases",1
"2.60747216529691","1.33924885862187","3.89156681869802","4","8","2","2","cases",1
"2.53808449370483","1.25325010091433","3.83922255492326","4","9","3","3","cases",1
"2.70422681967568","1.42153527124302","4.00314073748993","4","10","3","3","cases",1
"2.58392177544373","1.30403880374945","3.87997488645899","4","11","3","3","cases",1
"2.56152929406095","1.27975455583804","3.85952589702621","4","12","3","3","cases",1
"1.43850314806895","0.12451452698774","2.76973595859253","5","3","1","1","cases",1
"3.74444253149409","2.44215106358772","5.06328932403757","5","4","1","1","cases",1
"4.00581009097833","2.65792851433448","5.37138912919137","5","5","2","2","cases",1
"3.422432749307","2.06472593105564","4.79820034014664","5","6","2","2","cases",1
"3.44253811066757","2.08747102073026","4.8155918036608","5","7","2","2","cases",1
"3.48934945163675","2.13869297970775","4.85786666616919","5","8","2","2","cases",1
"3.45314428207204","2.08468529552881","4.83994764605473","5","9","3","3","cases",1
"3.6240498239217","2.25641052096601","5.0099807650589","5","10","3","3","cases",1
"3.48803416344465","2.12292993129024","4.87138610515754","5","11","3","3","cases",1
"3.42042532156401","2.05313161906786","4.80603783544034","5","12","3","3","cases",1
"2.21863093420505","0.811433572715203","3.64547095272301","6","3","1","1","cases",1
"4.89594201943215","3.50225116594454","6.30839936517684","6","4","1","1","cases",1
"5.16711550728386","3.72328621409841","6.63104292022576","6","5","2","2","cases",1
"4.42425338796522","2.96431132285084","5.90489612893617","6","6","2","2","cases",1
"4.34054631331631","2.87818934439454","5.82368988353987","6","7","2","2","cases",1
"4.39037197831229","2.93262535982317","5.86876341370264","6","8","2","2","cases",1
"4.47204915741268","2.9917707860591","5.9736032485638","6","9","3","3","cases",1
"4.64861391035574","3.16773881820125","6.15074556065218","6","10","3","3","cases",1
"4.48459338589398","3.00579933157348","5.98461762210021","6","11","3","3","cases",1
"4.36734488108599","2.88525130608177","5.87078846823659","6","12","3","3","cases",1
"2.89634050220848","1.43240591997131","4.38140348460172","7","3","1","1","cases",1
"5.85441233058266","4.4017454913275","7.32729186777634","7","4","1","1","cases",1
"6.17661459339591","4.66651919919545","7.70849716574118","7","5","2","2","cases",1
"5.36115035440008","3.83269446196699","6.91210568621707","7","6","2","2","cases",1
"5.22149679318158","3.68715819266181","6.77854018166237","7","7","2","2","cases",1
"5.26674620496577","3.73684165257866","6.81921369547713","7","8","2","2","cases",1
"5.41210002835322","3.85519012943178","6.99234981457675","7","9","3","3","cases",1
"5.59421991369178","4.03494797805806","7.17686215917339","7","10","3","3","cases",1
"5.40910519293964","3.85204299999187","6.98951254697111","7","11","3","3","cases",1
"5.27082955454821","3.70971830027511","6.85543974786154","7","12","3","3","cases",1
"2.77360713966166","1.21832175478664","4.35279049662778","8","3","1","1","cases",1
"6.00307116785375","4.44879017666828","7.58048109519516","8","4","1","1","cases",1
